#,NAME OF ALLAH,MEANING,REFERENCE FROM THE QUR’AN
,(Ash-Shakoor),ش ك ر,"“…Indeed, He is Forgiving and Appreciative.”[35:30]"
38,الشَّهِيد,The Witness,وَأَنتَ عَلَى كُلِّ شَيْءٍ شَهِيدٌ
,(Ash-Shaheed),ش ه د,"“…and You are, over all things, Witness.” [5:117]"
39,الصَّمَد,The Perfect Lord & Master Upon Whom All of the Creation Depends,اللَّهُ الصَّمَدُ
,(As-Samad),ص م د,"“Allah , the Eternal Refuge.” [112:2]"
40,العَالِم,The All Knower,عَالِمُ الْغَيْبِ وَالشَّهَادَةِ الْعَزِيزُ الْحَكِيمُ
,(Al-‘Aalim),ع ل م,"“Knower of the unseen and the witnessed, the Exalted in Might, the Wise.” [64:18]"
41,العَزِيز,The Almighty,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ
,(Al-‘Azeez),ع ز ز,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior…” [59:23]"
42,العَظِيم,The Great,وَهُوَ الْعَلِيُّ الْعَظِيمُ
,(Al-‘Azeem),ع ظ م,"“…And He is the Most High, the Most Great.” [2:255]"
43,العَفُوّ,The One Who Pardons Again & Again,فَإِنَّ اللّهَ كَانَ عَفُوًّا قَدِيرًا…
,(Al-‘Afuww),ع ف و,"“…indeed, Allah is ever Pardoning and Competent.” [4:149]"
44,العَلِيم,The All Knowing,إِنَّ رَبَّكَ هُوَ الْخَلاَّقُ الْعَلِيمُ
,(Al-‘Aleem),ع ل م,"“Indeed, your Lord -15 He is the Knowing Creator.” [15:86]"
45,العَلِيّ,The Sublime,وَهُوَ الْعَلِيُّ الْعَظِيمُ
,(Al-‘Aliyy),ع ل و,"“…And He is the Most High (Sublime), the Most Great.” [2:255]"
46,الغَفَّار,The Oft-Forgiving,رَبُّ السَّمَاوَاتِ وَالْأَرْضِ وَمَا بَيْنَهُمَا الْعَزِيزُ الْغَفَّارُ
,(Al-Ghaffaar),غ ف ر,"“…the Exalted in Might, the Perpetual Forgiver.” [38:66]"
47,الغَفُور,The One Who Forgives Extensively,إِنَّ اللّهَ غَفُورٌ حَلِيمٌ
,(Al-Ghafoor),غ ف ر,"“…Indeed, Allah is Forgiving and Forbearing.” [3:155]"
48,الغَنِيّ,The Self Sufficient,فَإِنَّ اللَّهَ هُوَ الْغَنِيُّ الْحَمِيدُ
,(Al-Ghaniyy),غ ن ي,"“…indeed, Allah is the Free of need (Self Sufficient), the Praiseworthy.” [57:24]"
49,الفَتَّاح,The Opener/Arbiter,وَهُوَ الْفَتَّاحُ الْعَلِيمُ
,(Al-Fattaah),ف ت ح,“…And He is the Knowing Judge (Arbiter).” [34:26]
50,القَادِر,The Fully Able One,لْ هُوَ الْقَادِرُ عَلَى أَن يَبْعَثَ عَلَيْكُمْ عَذَابًا مِّن فَوْقِكُمْ أَوْ مِن تَحْتِ أَرْجُلِكُمْ
,(Al-Qaadir),ق د ر,"“Say, “He is the Able to send upon you affliction from above you or from beneath your feet…” [6:65]"
51,القَاهِر,The Subduer/Subjugator,وَهُوَ الْقَاهِرُ فَوْقَ عِبَادِهِ وَهُوَ الْحَكِيمُ الْخَبِيرُ
,(Al-Qaahir),ق ه ر,"“And He is the subjugator over His servants. And He is the Wise, the Acquainted .” [6:18]"
52,القُدُّوس,The Pure & Perfect,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ
,(Al-Quddoos),ق د س,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior…” [59:23]"
53,القَدِير,The All Powerful,فَإِنَّ اللّهَ كَانَ عَفُوًّا قَدِيرًا
,(Al-Qadeer),ق د ر,"“…indeed, Allah is ever Pardoning and Competent (All-Powerful).” [4:149]"
54,القَرِيب,The Ever Near,إِنَّ رَبِّي قَرِيبٌ مُّجِيبٌ…
,(Al-Qareeb),ق ر ب,"“…Indeed, my Lord is near and responsive.” [11:61]"
55,القَوِيّ,The Strong,إِنَّ رَبَّكَ هُوَ الْقَوِيُّ الْعَزِيزُ…
,(Al-Qawiyy),ق و ي,"“…Indeed, it is your Lord who is the Powerful, the Exalted in Might.” [11:66]"
56,القَهَّار,The Subjugator,هُوَ اللَّهُ الْوَاحِدُ الْقَهَّارُ
,(Al-Qahhaar),ق ه ر,"“He is Allah , the One, the Prevailing.” [39:4]"
57,الكَبِير,The Magnificent/Grand,عَالِمُ الْغَيْبِ وَالشَّهَادَةِ الْكَبِيرُ الْمُتَعَالِ
,(Al-Kabeer),ك ب ر,"“ Knower of the unseen and the witnessed, the Grand, the Exalted (supreme).” [13:9]"
58,الكَرِيم,The Most Noble & Generous,يَا أَيُّهَا الْإِنسَانُ مَا غَرَّكَ بِرَبِّكَ الْكَرِيمِ
,(Al-Kareem),ك ر م,"“O mankind, what has deceived you concerning your Lord, the Generous,” [82:6]"
59,اللَّطِيف,The Subtle & Kind,إِنَّ اللَّهَ لَطِيفٌ خَبِيرٌ…
,(Al-Lateef),ل ط ف,"“…Indeed, Allah is Subtle and Acquainted.” [22:63]"
60,المُؤمِن,The Trustworthy Granter of Security,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ
,(Al-Mu’min),أ م ن,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer (dominant), the Exalted in Might, the Compeller, the Superior…” [59:23]"
61,المُتَعَالِي,The Supreme,عَالِمُ الْغَيْبِ وَالشَّهَادَةِ الْكَبِيرُ الْمُتَعَالِ
,(Al-Muta’aalee),ع ل و,"“ Knower of the unseen and the witnessed, the Grand, the Exalted (supreme).” [13:9]"
62,المُتَكَبِّر,The Justly & Rightfully Proud,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ
,(Al-Mutakabbir),ك ب ر,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior (justly proud)…” [59:23]"
63,المَتِين,The Firm One,إِنَّ اللَّهَ هُوَ الرَّزَّاقُ ذُو الْقُوَّةِ الْمَتِينُ
,(Al-Mateen),م ت ن,"“Indeed, it is Allah who is the Provider, the firm possessor of strength.” [51:58]"
64,المُجِيب,The Responsive,إِنَّ رَبِّي قَرِيبٌ مُّجِيبٌ…
,(Al-Mujeeb),ج و ب,"“…Indeed, my Lord is near and responsive.” [11:61]"
65,المَجِيد,The Glorious,ذُو الْعَرْشِ الْمَجِيدُ
,(Al-Majeed),ج ي د,“Honorable (glorious) Owner of the Throne” [85:15]
66,المُحِيط,The All Encompassing,إِنَّهُ بِكُلِّ شَيْءٍ مُّحِيطٌ
,(Al-Muheet),ح و ط,"“…Unquestionably He is, of all things, encompassing.” [41:54]"
67,المُصَوِّر,The Bestower of Forms,هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ
,(Al-Musawwir),ص و ر,"“He is Allah , the Creator, the Inventor, the Fashioner (bestower of forms)…” [59:24]"
68,المُقْتَدِر,The Omnipotent,Iوَكَانَ اللَّهُ عَلَى كُلِّ شَيْءٍ مُّقْتَدِرً
,(Al-Muqtadir),ق د ر,"“…And Allah is ever, over all things, Perfect in Ability (Omnipotent).” [18:45]"
69,المُقِيت,The All Powerful Maintainer,وَكَانَ اللّهُ عَلَى كُلِّ شَيْءٍ مُّقِيتًا
,(Al-Muqeet),ق و ت,"“… And ever is Allah , over all things, a Keeper (Supreme Nourisher/overseer).” [4:85]"
70,المَلِك,The King,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ
,(Al-Malik),م ل ك,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior…” [59:23]"
71,المَلِيك,The Supreme Sovereign,فِي مَقْعَدِ صِدْقٍ عِندَ مَلِيكٍ مُّقْتَدِرٍ
,(Al-Maleek),م ل ك,"“In a seat of honor near a Sovereign, Perfect in Ability.” [54:55]"
72,المَولَى,The Master,أَنَّ اللّهَ مَوْلاَكُمْ نِعْمَ الْمَوْلَى وَنِعْمَ النَّصِيرُ
,(Al-Mawlaa),و ل ي,"“…Excellent is the protector (patron/master), and Excellent is the helper.” [8:40]"
73,المُهَيْمِن,The Dominant One,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ
,(Al-Muhaymin),ه م ن,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer (dominant), the Exalted in Might, the Compeller, the Superior…” [59:23]"
74,النَّصِير,The Helper,أَنَّ اللّهَ مَوْلاَكُمْ نِعْمَ الْمَوْلَى وَنِعْمَ النَّصِيرُ
,(An-Naseer),ن ص ر,"“…Excellent is the protector, and Excellent is the helper.” [8:40]"
75,الوَاحِد,The One & Only,هُوَ اللَّهُ الْوَاحِدُ الْقَهَّارُ
,(Al-Waahid),أ ح د,"“He is Allah , the One, the Prevailing.” [39:4]"
76,الوَارِث,The Inheritor,وَإنَّا لَنَحْنُ نُحْيِي وَنُمِيتُ وَنَحْنُ الْوَارِثُونَ
,(Al-Waarith),و ر ث,"“And indeed, it is We who give life and cause death, and We are the Inheritor.” [15:23]"
77,الوَاسِع,The Vast One,إِنَّ اللّهَ وَاسِعٌ عَلِيمٌ…
,(Al-Waasi’),و س ع,"“…Indeed, Allah is all-Encompassing (all-prevading) and Knowing.” [2:115]"
78,الوَدُود,The Loving,إِنَّ رَبِّي رَحِيمٌ وَدُودٌ…
,(Al-Wadood),و د د,“…my Lord is Merciful and Affectionate (loving).” [11:90]
79,الوَكِيل,The Trustee,وَهُوَ عَلَى كُلِّ شَيْءٍ وَكِيلٌ…
,(Al-Wakeel),و ك ل,"“…and He is, over all things, Disposer of affairs (Trustee).” [39:62]"
80,الوَلِيّ,The Guardian,…هُوَ الْوَلِيُّ وَهُوَ يُحْيِي المَوْتَى…
,(Al-Waliyy),و ل ي,"“He is the Protector (Guardian), and He gives life to the dead…” [42:9]"
81,الوَهَّاب,The Bestower,إِنَّكَ أَنتَ الْوَهَّابُ
,(Al-Wahhaab),و ه ب,"“…Indeed, You are the Bestower…” [3:8]"
#,NAME OF ALLAH,MEANING,REFERENCE FROM SAHIH AHADITH
82,الجَمِيل,The Beautiful,… إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ …
,(Al-Jameel),ج م ل,"“…Allah is Beautiful (graceful), He loves beauty (grace)…” [Muslim 91]"
83,الجَوَاد,The Munificent,…ذَلِكَ بِأَنِّي جَوَادٌ مَاجِدٌ…
,(Al-Jawaad),ج و د,"“…That is because I am the Most Generous, Majestic…” [Ibn Majah]"
84,الحَكَم,The Judge,… إِنَّ اللَّهَ هُوَ الْحَكَمُ وَإِلَيْهِ الْحُكْمُ
,(Al-Hakam),ح ك م,“Allah is Al-Hakam (the Judge) and judgment is His…” [Nasa’i 5387]
85,الحَيِّي,The Modest,…إِنَّ رَبَّكُمْ تَبَارَكَ وَتَعَالَى حَيِيٌّ كَرِيمٌ
,(Al-Hayyiyy),ح ي ي,“Your Lord is munificent and generous…” [Abi Dawud 1488]
86,الرَّبّ,The Lord and Nurturer,أَقْرَبُ مَا يَكُونُ الرَّبُّ مِنَ الْعَبْدِ فِي جَوْفِ اللَّيْلِ الآخِرِ
,(Ar-Rabb),ر ب ب,“The closest that the Lord is to a worshipper is during the last part of the night…” [Tirmidhi 3579]
87,الرَّفِيق,The Gentle,إِنَّ اللَّهَ رَفِيقٌ يُحِبُّ الرِّفْقَ فِي الأَمْرِ كُلِّهِ
,(Ar-Rafeeq),ر ف ق,“…Allah is kind (gentle and lenient) and likes that one should be kind (gentle and lenient) in all matters…” [Bukhari 6927]
88,السُّبُّوح,The Perfect,سُبُّوحٌ قُدُّوسٌ رَبُّ الْمَلاَئِكَةِ وَالرُّوحِ
,(As-Subbooh),س ب ح,"“All Glorious (perfect), All Holy, Lord of the Angels and the Spirit.”[Muslim 487]"
89,السَّيِّد,The Lord & Master,السَّيِّدُ اللَّهُ تَبَارَكَ وَتَعَالَى
,(As-Sayyid),س و د,"“…The lord is Allah, the Blessed and Exalted…”[Abu Dawud 4806]"
90,الشَّافِي,The Healer,اللَّهُمَّ رَبَّ النَّاسِ أَذْهِبِ الْبَاسَ، اشْفِهِ وَأَنْتَ الشَّافِي
,(Ash-Shaafee),ش ف ي,"“O Allah, the Lord of the people! Remove the trouble and heal the patient, for You are the Healer…” [Bukhari 5743]"
91,الطَّيِّب,The Pure One,إِنَّ اللَّهَ طَيِّبٌ لاَ يَقْبَلُ إِلاَّ طَيِّبًا
,(At-Tayyib),ط ي ب,"“…Allah is Good (Pure) and He therefore, accepts only that which is good (pure)…” [Muslim 1015]"
92,القابِض,The Withholder,إِنَّ اللَّهَ هُوَ الْمُسَعِّرُ الْقَابِضُ الْبَاسِطُ الرَّزَّاقُ
,(Al-Qaabid),ق ب ض,"“Indeed Allah is Al-Musa’ir (One who regulates the prices), Al-Qabid (the withholder – the one who seizes), Al-Basit (the expander – the one who grants increase), Ar-Razzaq (the ever providing)…” [Tirmidhi 1314]"
93,البَاسِط,The Expander,إِنَّ اللَّهَ هُوَ الْمُسَعِّرُ الْقَابِضُ الْبَاسِطُ الرَّزَّاقُ
,(Al-Baasit),ب س ط,"“Indeed Allah is Al-Musa’ir (One who regulates the prices), Al-Qabid (the withholder – the one who seizes), Al-Basit (the expander – the one who grants increase), Ar-Razzaq (the ever providing)…” [Tirmidhi 1314]"
94,المُقَدِّم,The One Who Gives Precedence,أَنْتَ الْمُقَدِّمُ وَأَنْتَ الْمُؤَخِّرُ
,(Al-Muqaddim),ق د م,“…You are the One who make (some people) forward (The One Who Gives Precedence) And (some) backward (The Delayer)…” [Bukhari 1120]
95,المُؤَخِّر,The Delayer,أَنْتَ الْمُقَدِّمُ وَأَنْتَ الْمُؤَخِّرُ
,(Al-Mu’akhkhir),أ خ ر,“…You are the One who make (some people) forward (The One Who Gives Precedence) And (some) backward (The Delayer)…” [Bukhari 1120]
96,المُحْسِن,The Benevolent,in the hadith of Shadad ibn Au’s in al-Mujam al-Kabir (7:257) it is narrated that the prophet (pbuh) said ‘God is Mohsin so you too bring Husn in your deeds … ‘. Al-Albani considers the hadith to be authentic in his Sahih al-Jami (1824).
,(Al-Muhsin),ح س ن,"A number of the well-known scholars of the past including Ibn Taymiyah (in majmu’a al-fatawa 1:379) and ibn Qayyim (in madarij al-salikin, 1:418) have referred to Mohsin as a name of God."
97,المُعْطِي,The Giver,…وَاللَّهُ الْمُعْطِي وَأَنَا الْقَاسِمُ…
,(Al-Mu’tee),ع ط و,“…Allah is Al-Mu’tee (the Giver) and I am Al-Qasim (i.e. the distributor)…” [Bukhari 3116]
98,المَنَّان,The Benefactor,…لاَ إِلَهَ إِلاَّ أَنْتَ وَحْدَكَ لاَ شَرِيكَ لَكَ الْمَنَّانُ…
,(Al-Mannaan),م ن ن,"“…none has the right to be worshiped but You alone, and You have no partner or associate, the Bestower (benefactor)…” [Ibn Majah 3858]"
99,الوِتْر,The One,… وَهْوَ وَتْرٌ يُحِبُّ الْوَتْرَ…
,(Al-Witr),و ت ر,“…Allah is witr (one) and loves ‘the witr’…” [Bukhari 6410]
